,AAV_CBLN1_OE_1,AAV_CBLN1_OE_2,AAV_CBLN1_OE_3,AAV_CTL1,AAV_CTL2,AAV_CTL3
Eef1a1,9224.44798,8769.916317,8985.589357,9519.995465,11067.89175,10163.21535
mt-Co1,7557.166886,8254.191063,7362.39357,8045.895131,8175.438822,7685.603889
Trf,9232.770109,8083.398859,6020.229039,7018.956131,6764.002637,7431.296491
Tpt1,6631.172578,6207.289321,5700.993606,6905.020805,8751.081967,7769.652656
B2m,6231.060712,5280.562736,7276.656641,7615.357462,6040.341241,6784.284993
mt-Atp6,6767.71488,7240.242386,5805.052249,7304.856091,6462.576689,6418.615505
Rpl41,5925.419081,7127.848025,6172.5975,6257.10314,5972.984358,7039.898508
Gm28661,5069.142084,6660.54217,5509.870227,5860.512359,5131.370944,5666.629977
Spp1,4792.483877,4726.371807,3403.130379,4347.237779,7658.973456,6539.728567
Rpl13a,5181.290016,4735.665168,4863.375563,4772.112532,5766.273861,5390.114673
Rps27,4921.783797,4552.429493,4417.741946,5428.372859,5329.969513,5797.400326
Gapdh,4162.721654,3535.168917,4226.140919,3991.323891,7655.293382,5220.110436
Rplp1,4921.063244,4521.695342,4784.233417,4564.636655,4881.467014,4976.597134
Vim,4354.873886,3520.958595,4066.204795,4310.229529,6445.219875,4337.272753
Fth1,4112.040692,4239.415981,4496.490081,3999.257931,4435.719176,4934.994738
CT010467.1,4484.536581,4450.706863,3690.907174,4185.196445,4707.496175,4582.181258
Rpl18a,4195.278163,4005.516334,3953.107968,3912.158838,5179.025963,4542.485697
Lgals1,4075.705534,4136.98947,3807.699293,4103.632665,4265.736069,4381.971304
Tmsb10,3823.654835,3769.57567,4155.600971,4324.577084,4704.830131,4475.701476
mt-Co3,4090.200677,4209.034188,3746.779775,4608.423291,2714.007742,3831.163351
Rpl23a,3600.451407,3520.577916,3388.702303,4122.106722,4492.800608,4313.429682
Ly6e,3167.12244,3291.087417,3791.387666,3586.554076,3411.598903,3718.104135
Cd74,3703.145905,3426.849708,6598.67569,4453.162853,955.662359,2141.911599
Rpl32,3395.287596,3273.443325,3361.148265,3353.339206,4045.871983,3962.89934
